message,otp_request,upfront_fee,guaranteed_approval,urgency_pressure,excessive_permissions,fake_rbi_claim,hidden_charges,suspicious_link,flag,risk_score,risk_category
Thank you for your recent payment of BDT 3000.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert! Unrecognized device logged in to your account. Verify immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your food delivery has arrived. Please collect it.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Claim your prize money worth BDT 5000 by sending your bank details now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your appointment with Dr. Rahman has been confirmed for tomorrow.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"You are selected for government subsidy. Verify details to claim BDT 15,000.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your electricity bill payment of BDT 2600 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your BDT 3000 utility bill has been paid successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent! Confirm your credit card details to avoid suspension.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Congratulations! You won a free trip. Reply YES to claim your prize.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your mobile data has been recharged with 2GB. Enjoy surfing.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning: Suspicious transaction detected. Verify your identity immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your food order from FoodieApp is delivered. Enjoy your meal!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Limited-time offer! Double your investment in 15 days. Call now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
You have successfully booked a taxi for 9 AM tomorrow.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Final notice! Claim your BDT 10,000 insurance payout today.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your monthly gym subscription has been renewed. Thank you.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
You have unpaid fines totaling BDT 1200. Pay now to avoid penalties.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Event reminder: Music concert tonight at 7 PM at City Arena.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your debit card has been temporarily blocked for security reasons.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your parcel #XZ1234 is ready for pickup at the post office.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent: Your loan approval is pending. Submit documents to proceed.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your cab driver will arrive in 5 minutes. Please be ready,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Get rich quick! Invest BDT 20,000 in crypto mining and earn huge profits.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Thank you for registering for the webinar. We will email the link soon.,0,0,0,0,0,0,0,1,0,15,Low Risk 🟢
Your electricity meter reading is due. Please pay your bill of BDT 2500.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Last chance: Claim your cashback by verifying your account details now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your BDT 4000 electricity bill has been paid. Thank you for your payment.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Alert: Suspicious account activity detected. Verify your info immediately.,0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
Congratulations! You are selected for a free smartphone giveaway. Reply YES.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your monthly mobile recharge of BDT 600 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent! Your login was from an unknown device. Confirm your identity now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your food delivery order has arrived. Enjoy your meal!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Double your money with our new investment plan. Call us today,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Urgent! Verify your bank details to prevent account suspension.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Claim your prize worth BDT 10,000 by replying",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your recent payment of BDT 1500 was successful,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your parcel #AB123 is out for delivery.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your electricity bill of BDT 800 is due tomorrow.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Immediate notice: Unauthorized transaction detected, act now!",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
You have won a free luxury watch. Reply to claim now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your mobile recharge of BDT 300 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Reminder: Doctor’s appointment tomorrow at 10 AM,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Thank you for your recent bank deposit of BDT 5000.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Claim your government grant of BDT 12,000 now.",0,0,0,1,0,1,0,0,1,45,High Risk 🟠
"Alert! Suspicious login attempt detected, verify your account.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your cab driver will arrive in 10 minutes.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your online subscription has been renewed. Thank you!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
You have a new message from the lottery office. Claim winnings.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your credit card has been temporarily blocked. Confirm details.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You are selected for exclusive cashback offer.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your electricity payment of BDT 2200 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your order #5678 has been processed and shipped.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Payment reminder: Your internet bill of BDT 1200 is due.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Suspicious debit card transaction of BDT 5000 detected. Verify immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
You won a free vacation to the Bahamas! Reply YES to claim your prize.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your electricity bill payment of BDT 3200 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your package #ZX12345 is out for delivery. Track it using our app.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Reminder: Doctor appointment scheduled for tomorrow at 9:30 AM.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent: Your bank account has been locked due to suspicious activity. Verify now.,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
"Claim your cash reward of BDT 10,000 now. Send your bank details to proceed.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your Uber ride has been confirmed for 3 PM today.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Last chance to update your payment info or your subscription will be suspended.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You have been pre-approved for a loan. Apply now to get instant approval.,0,0,1,1,0,0,0,0,1,30,Medium Risk 🟡
Your recent grocery order #78345 has been delivered. Enjoy your purchase!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your Netflix subscription has been renewed. Thank you for staying with us.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Unrecognized login attempt detected on your email. Secure your account now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"You've received BDT 1,000 cashback from your last purchase",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Please verify your social security number to claim your government grant.,0,0,0,0,0,1,0,0,1,30,Medium Risk 🟡
Your cab driver is on the way and will arrive in 5 minutes.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Verify your Apple ID to prevent permanent lockout. Ignore if you did not request.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Thank you for your donation of BDT 500. Your generosity is appreciated.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Let's meet at the cafe around 8 PM?,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Claim your cashback reward #10 now! Limited time offer.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
আপনার বিকাশে 350 টাকা জিতেছেন! তথ্য নিশ্চিত করতে এখনই লিঙ্কে যান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You won a free iPhone. Claim now at secure-link.com,0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
Don't forget to bring the documents for tomorrow's meeting,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Limited offer! Get 50% cashback on your next payment. Click here,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
আপনার নাম্বারটি নির্বাচিত হয়েছে লটারি জেতার জন্য। লিঙ্কে যাচাই করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Can you send me your notes for today's class?,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Win ₹5000 instantly! Verify your account at rewardsite.com,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Alert: Unusual withdrawal of BDT 4500 from your account. Verify now to avoid loss.,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
"Congratulations! You have won a BDT 20,000 shopping voucher. Reply to claim your prize.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your water bill of BDT 1200 has been paid successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your parcel #YZ6789 will be delivered today. Track live through our app,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Reminder: Your flight booking to Dhaka is scheduled for tomorrow at 6 AM.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Important: Your bank account is locked due to suspicious activity. Verify your identity now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Claim instant loan approval up to BDT 50,000. Send your documents to proceed.",0,0,1,0,0,0,0,0,1,15,Low Risk 🟢
Your mobile recharge of BDT 350 was processed successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your hotel booking confirmation #12345 for 3 nights in London.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Payment of BDT 3800 received. Thank you for your payment to ABC Store,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Final notice: Update your billing info or your mobile service will be suspended.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You’re pre-qualified for a credit card with a $5000 limit. Apply now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your online shopping order #78654 is confirmed and will be delivered soon.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your subscription to Sports Daily renewed successfully. Enjoy your exclusive content!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Suspicious login attempt on your email account. Secure it immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
You’ve earned BDT 1500 cashback on your last grocery purchase.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Claim your government relief fund of BDT 30,000. Submit your documents today.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your taxi will arrive in 7 minutes. Driver: Saiful, Car: Blue Toyota.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your Apple ID has been temporarily disabled. Verify now to avoid permanent lockout,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
Thank you for your charitable donation of BDT 1000. Your kindness is appreciated.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent payment required: Your credit card bill of BDT 7000 is overdue. Pay now to avoid fees,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"অভিনন্দন! আপনি ২০,০০০ টাকার ভাউচার জিতেছেন। আপনার পুরস্কার পেতে “YES” রিপ্লাই করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার বিদ্যুতের বিল ৩১৫০ টাকা সফলভাবে পরিশোধ হয়েছে। ধন্যবাদ।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার প্যাকেজ #এসটি১২৩৪৪ আজ ডেলিভারি হবে। ট্র্যাক করতে আমাদের অ্যাপ ব্যবহার করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your bank transfer of BDT 10,000 has been successfully processed",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
You’ve won a free entry to the VIP concert! Reply YES to claim your tickets.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your parcel #A7821 was successfully delivered. Thank you for shopping with us.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning: Multiple failed login attempts on your social media account. Check activity now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Your insurance claim was approved. BDT 15,000 will be credited to your account shortly.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Last chance to claim your cashback offer worth BDT 5,000. Verify now.",0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
Your flight to Chittagong is on schedule for 10 AM tomorrow. Have a safe trip!,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Confirm your bank details now to avoid loan application cancellation.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your electricity bill for this month is BDT 2900. Please pay by the due date.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Congratulations! You have been selected to get an exclusive reward! Your name came up for a YETI War Survival Kit. This special gift is from Tractor Supply. Hurry up! Your Reward is Ready,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Enjoy Annual Fee Waiver on Your Medical Quota Debit Card for Safe and Convenient Payment Abroad!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your cloud storage is full. Please take action to free up space. Cloud Storage – Storage Limit Reached Your storage reached 100%,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
ANSWER FOR FREE!You have been chosen to participate in our Loyalty Program for FREE! It will take you only a minute to receive this fantastic prize.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Get a free Amazon voucher by completing this survey now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Congratulations! Your subscription is upgraded. Click to confirm,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Alert: Suspicious activity detected in your PayPal account. Verify now,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
bKash: You received 2000 BDT. Click here to confirm your account,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
Do you want to join the study group this evening?,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Bank Alert: Your account will be locked due to pending verification.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Earn $100 per day from home with this financial program. Apply now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Bhai, I sent you 1500 taka via bKash. Check and confirm",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Congratulations! You have been selected for a $5000 government loan with 0% interest. Apply now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Can you return the 1000 BDT I lent you last week? Need it urgently,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Get 200% return by investing just $100 in our crypto program. Limited seats!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Salary credited: 35,000 BDT has been deposited to your account",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Claim your free cashback of $250 today by entering your card details,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your Tax Refund of 20,000 BDT is pending. Submit your details to receive it instantly",0,0,0,0,0,1,0,0,1,30,Medium Risk 🟡
"Nagad e 500 taka pathaisi, mama. Dekho paiso naki",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Last chance! Clear your loan dues now to avoid legal action,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Please approve the 12,500 BDT payment request I sent on Payoneer.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Win a brand new iPhone 15 by paying just $5 registration fee!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your credit card has been temporarily blocked. Reactivate by verifying your PIN.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Client sent the 40% advance today. Check the bank statement,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Earn $300 per day without investment. Just forward messages!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Can you share the bank details for transferring the rent money?,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your bank flagged a transaction of $1,250. Verify at securebank-verify.com within 24 hours to avoid suspension",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Sent 2,500 BDT via bKash just now. Please confirm when you get it",0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
"Congratulations, you have been pre-approved for an instant $5,000 loan. Apply here to receive funds within 24 hours",0,0,1,1,0,0,0,0,1,30,Medium Risk 🟡
"Invoice INV-3321 for 18,750 BDT has been paid and receipt uploaded to your email",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Unusual login detected on your PayPal. Confirm identity to prevent account hold,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"I transferred the rent 12,000 BDT to your account. Check and tell me if it cleared",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Limited offer: Get 15% cashback on utility bill payments. Submit card details to claim reward,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Company salary transfer of 45,000 BDT processed today. Payslip sent to your inbox",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Immediate action required: Confirm your bank OTP to stop a pending fraudulent transfer,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"I have paid the supplier 30,000 BDT via bank transfer; please confirm delivery schedule",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"You are shortlisted for a high-return investment program. Invest $200 to get $2,000 monthly returns. Limited seats",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Shared the invoice for last month. Please approve payment of 22,500 BDT by Friday",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Final notice: Overdue loan amount of $850 must be cleared or legal action will follow. Click to resolve,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Reward claim: Your tax refund of $420 is pending. Submit bank details to process immediately,0,0,0,1,0,1,0,0,1,45,High Risk 🟠
"Payment confirmation: Received 4,200 BDT for the event booking. Thanks for the prompt payment",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent verification requested: Reactivate your debit card by confirming 4-digit PIN at banklink.verify,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"I sent the freelance payment of $150 via Payoneer. Check and confirm receipt, please",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Exclusive: Instant credit limit increase to $3,000 available. Click link to accept the offer now",0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
"Reminder: Utility bill of 1,250 BDT due tomorrow. Please pay to avoid late fee",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Claim your cashback reward of $300 now. Complete the form to receive instant transfer,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Transferred 5,000 BDT for the project materials. Inform me when it arrives",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your credit score has been upgraded. Unlock premium loan access with zero documentation,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Sent the advance payment of $200 via Wise. Check your email for confirmation,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Lottery draw result: Your mobile number has won 75,000 BDT. Submit bank info to collect winning",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
I refunded the extra 850 BDT you sent earlier. Please recheck your balance,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
PayPal alert: Unverified login attempt blocked. Recover account before suspension,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Final payment of 12,600 BDT processed successfully. Kindly send delivery schedule",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Government relief fund available for selected citizens. Register to receive $500 instantly,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Rent of 9,000 BDT paid via Nagad. Let me know if it shows pending",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your insurance refund request is approved. Submit billing address to release payment,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Paid the tuition installment of 15,000 BDT today. Please confirm on your side",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Crypto investment deal: Deposit $100 and earn $1,000 monthly return guaranteed",0,0,1,0,0,0,0,0,1,15,Low Risk 🟢
"Can you send 2,300 BDT by evening? Need to settle an urgent bill",0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
"Security alert: Suspicious transaction of 4,500 BDT detected on your card. Approve or decline immediately",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Salary allowance of $120 added separately. Check your payroll slip,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your subscription payment failed. Update card details to avoid service halt,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Settled the vendor payment through bank draft just now. Awaiting your acknowledgment,0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
Limited stock: Get gold savings account with 5x bonus interest. Activate through special code,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Received 1,100 BDT on Rocket just now. Sending receipt shortly",0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
Immediate action required to prevent permanent block on your debit card. Confirm identity at verify-mybank.net,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Just sent 3,200 BDT to your account for the utility bills. Please check and confirm",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Exclusive loan offer of $10,000 with no credit check. Apply before midnight",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Client transferred 65,000 BDT this morning. Update the balance sheet",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Final reminder: Your pending tax fee of $260 must be cleared to avoid penalty,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your online order payment of 2,750 BDT is successfully received. Thank you",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Congratulations, your wallet has been credited with $700 bonus. Activate reward using secure link",0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
"I will return your 1,500 BDT tomorrow once my salary arrives",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Suspicious payment attempt detected on your MasterCard. Validate transaction immediately,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Sent the advance booking amount of 5,500 BDT. Please reserve the slot",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your reward of $950 is waiting for withdrawal. Submit bank details to receive instantly,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"I transferred 4,800 BDT for the exam fees. Please verify if it reached your account",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent notification: Loan recovery team assigned to your case. Clear dues to avoid legal visit,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"The vendor confirmed receipt of 22,000 BDT. Delivery will be dispatched tomorrow",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Increase your credit limit to $5,000 instantly without documentation. Click to activate",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Mom sent 1,200 BDT through Rocket. Check if it reflects in your balance",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your insurance refund of $350 is ready. Complete verification before it expires,0,0,0,0,1,0,0,0,1,20,Medium Risk 🟡
I paid the hotel booking charge via Visa. Check the confirmation email,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Security alert: Multiple failed login attempts on your wallet. Restore access now,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"The rent of 8,500 BDT has been transferred. Please send acknowledgment",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Final warning: Your credit card account will be frozen within 24 hours. Verify now at securebankportal.com,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
"I sent 3,700 BDT for groceries via bKash. Let me know once it reaches",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Congratulations! You are selected for a $2,000 investment bonus. Submit details to claim",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Paid the electricity bill of 1,250 BDT today. Please check if it cleared",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your PayPal account is under review due to suspicious activity. Confirm identity immediately,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"I transferred 5,500 BDT for the office stationery. Confirm receipt",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Exclusive: Unlock a high-yield savings account with 5% bonus interest. Apply now,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Sent advance payment of 15,000 BDT for the event hall booking. Await confirmation",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Unauthorized loan application detected in your name. Verify or report now,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"I repaid the 2,300 BDT loan you gave last week. Please confirm",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent: Your bank account has been flagged for multiple failed login attempts. Verify now to avoid freeze,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
"I transferred 2,800 BDT for the monthly internet bill. Check and confirm receipt",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Limited offer: Apply for an instant $1,500 payday loan without credit check",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Client has deposited 50,000 BDT today. Update your records accordingly",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your lottery reward of $1,200 is pending. Submit bank details to claim before deadline",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Paid the school fees of 12,500 BDT today. Please acknowledge",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Security alert: Your debit card shows suspicious activity. Confirm transaction immediately,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"I sent 1,800 BDT to settle the grocery expenses. Let me know if it’s received",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Exclusive crypto investment opportunity: Deposit $200 to earn $1,500 monthly. Limited seats",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Salary of 45,000 BDT has been credited. Check your payroll slip",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার একাউন্টে সন্দেহজনক লেনদেন হয়েছে। দ্রুত যাচাই করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার মোবাইল রিচার্জ সফল হয়েছে। ধন্যবাদ।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"জরুরি! আপনার অ্যাকাউন্ট ব্লক হতে চলেছে, লগইন করুন",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার লটারি জিতেছেন! এখনই তথ্য পাঠান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে। বিশদ তথ্যের জন্য কল করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার অ্যাকাউন্টের ব্যালেন্স ৭০০০ টাকা।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনি এখনই লটারি জিতেছেন। বিস্তারিত জানার জন্য কল করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"অজানা নম্বর থেকে কল এড়ান, এটি প্রতারণামূলক।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
অনলাইন ট্রেডিং প্লাটফর্মে যোগ দিয়ে বিনিয়োগ করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে। অচিরেই অভিযোগ জানান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার ব্যাংক অ্যাকাউন্টের বিস্তারিত তথ্য আপডেট করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার মোবাইল নম্বর রিচার্জ সফল হয়েছে। ধন্যবাদ।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
অনলাইন লেনদেনে আগ্রহী? দ্রুত যোগাযোগ করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
