message,risk_score,risk_category,flag
Bank Alert: Your account will be locked due to pending verification.,0,Low Risk,1
Earn $100 per day from home with this financial program. Apply now!,15,Low Risk,1
"Bhai, I sent you 1500 taka via bKash. Check and confirm",0,Low Risk,0
Congratulations! You have been selected for a $5000 government loan with 0% interest. Apply now!,15,Low Risk,1
Can you return the 1000 BDT I lent you last week? Need it urgently,0,Low Risk,1
Get 200% return by investing just $100 in our crypto program. Limited seats!,0,Low Risk,0
"Salary credited: 35,000 BDT has been deposited to your account",0,Low Risk,0
Claim your free cashback of $250 today by entering your card details,0,Low Risk,1
"Your Tax Refund of 20,000 BDT is pending. Submit your details to receive it instantly",30,Medium Risk,1
"Nagad e 500 taka pathaisi, mama. Dekho paiso naki",0,Low Risk,0
Last chance! Clear your loan dues now to avoid legal action,15,Low Risk,1
"Please approve the 12,500 BDT payment request I sent on Payoneer.",0,Low Risk,0
Win a brand new iPhone 15 by paying just $5 registration fee!,0,Low Risk,1
Your credit card has been temporarily blocked. Reactivate by verifying your PIN.,30,Medium Risk,1
Client sent the 40% advance today. Check the bank statement,0,Low Risk,0
Earn $300 per day without investment. Just forward messages!,0,Low Risk,1
Can you share the bank details for transferring the rent money?,0,Low Risk,0
"Your bank flagged a transaction of $1,250. Verify at securebank-verify.com within 24 hours to avoid suspension",15,Low Risk,1
"Sent 2,500 BDT via bKash just now. Please confirm when you get it",15,Low Risk,0
"Congratulations, you have been pre-approved for an instant $5,000 loan. Apply here to receive funds within 24 hours",30,Medium Risk,1
"Invoice INV-3321 for 18,750 BDT has been paid and receipt uploaded to your email",0,Low Risk,0
Alert: Unusual login detected on your PayPal. Confirm identity to prevent account hold,0,Low Risk,1
"I transferred the rent 12,000 BDT to your account. Check and tell me if it cleared",0,Low Risk,0
Limited offer: Get 15% cashback on utility bill payments. Submit card details to claim reward,0,Low Risk,0
"Company salary transfer of 45,000 BDT processed today. Payslip sent to your inbox",0,Low Risk,0
Immediate action required: Confirm your bank OTP to stop a pending fraudulent transfer,30,Medium Risk,1
"I have paid the supplier 30,000 BDT via bank transfer; please confirm delivery schedule",0,Low Risk,0
"You are shortlisted for a high-return investment program. Invest $200 to get $2,000 monthly returns. Limited seats",0,Low Risk,0
"Shared the invoice for last month. Please approve payment of 22,500 BDT by Friday",0,Low Risk,0
Final notice: Overdue loan amount of $850 must be cleared or legal action will follow. Click to resolve,0,Low Risk,1
Reward claim: Your tax refund of $420 is pending. Submit bank details to process immediately,45,High Risk,1
"Payment confirmation: Received 4,200 BDT for the event booking. Thanks for the prompt payment",0,Low Risk,0
Urgent verification requested: Reactivate your debit card by confirming 4-digit PIN at banklink.verify,45,High Risk,1
"I sent the freelance payment of $150 via Payoneer. Check and confirm receipt, please",0,Low Risk,0
"Exclusive: Instant credit limit increase to $3,000 available. Click link to accept the offer now",30,Medium Risk,1
"Reminder: Utility bill of 1,250 BDT due tomorrow. Please pay to avoid late fee",0,Low Risk,0
Claim your cashback reward of $300 now. Complete the form to receive instant transfer,15,Low Risk,1
"Transferred 5,000 BDT for the project materials. Inform me when it arrives",0,Low Risk,0
Your credit score has been upgraded. Unlock premium loan access with zero documentation,0,Low Risk,1
Sent the advance payment of $200 via Wise. Check your email for confirmation,0,Low Risk,0
"Lottery draw result: Your mobile number has won 75,000 BDT. Submit bank info to collect winning",0,Low Risk,1
I refunded the extra 850 BDT you sent earlier. Please recheck your balance,0,Low Risk,0
PayPal alert: Unverified login attempt blocked. Recover account before suspension,0,Low Risk,1
"Final payment of 12,600 BDT processed successfully. Kindly send delivery schedule",0,Low Risk,0
Government relief fund available for selected citizens. Register to receive $500 instantly,0,Low Risk,1
"Rent of 9,000 BDT paid via Nagad. Let me know if it shows pending",0,Low Risk,0
Your insurance refund request is approved. Submit billing address to release payment,0,Low Risk,1
"Paid the tuition installment of 15,000 BDT today. Please confirm on your side",0,Low Risk,0
"Crypto investment deal: Deposit $100 and earn $1,000 monthly return guaranteed",15,Low Risk,1
"Can you send 2,300 BDT by evening? Need to settle an urgent bill",15,Low Risk,0
"Security alert: Suspicious transaction of 4,500 BDT detected on your card. Approve or decline immediately",15,Low Risk,1
Salary allowance of $120 added separately. Check your payroll slip,0,Low Risk,0
Your subscription payment failed. Update card details to avoid service halt,0,Low Risk,1
Settled the vendor payment through bank draft just now. Awaiting your acknowledgment,15,Low Risk,0
Limited stock: Get gold savings account with 5x bonus interest. Activate through special code,0,Low Risk,0
"Received 1,100 BDT on Rocket just now. Sending receipt shortly",15,Low Risk,0
Immediate action required to prevent permanent block on your debit card. Confirm identity at verify-mybank.net,0,Low Risk,1
"Just sent 3,200 BDT to your account for the utility bills. Please check and confirm",0,Low Risk,0
"Exclusive loan offer of $10,000 with no credit check. Apply before midnight",0,Low Risk,1
"Client transferred 65,000 BDT this morning. Update the balance sheet",0,Low Risk,0
Final reminder: Your pending tax fee of $260 must be cleared to avoid penalty,0,Low Risk,1
"Your online order payment of 2,750 BDT is successfully received. Thank you",0,Low Risk,0
"Congratulations, your wallet has been credited with $700 bonus. Activate reward using secure link",15,Low Risk,1
"I will return your 1,500 BDT tomorrow once my salary arrives",0,Low Risk,0
Suspicious payment attempt detected on your MasterCard. Validate transaction immediately,15,Low Risk,1
"Sent the advance booking amount of 5,500 BDT. Please reserve the slot",0,Low Risk,0
Your reward of $950 is waiting for withdrawal. Submit bank details to receive instantly,0,Low Risk,1
"I transferred 4,800 BDT for the exam fees. Please verify if it reached your account",0,Low Risk,0
Urgent notification: Loan recovery team assigned to your case. Clear dues to avoid legal visit,15,Low Risk,1
"The vendor confirmed receipt of 22,000 BDT. Delivery will be dispatched tomorrow",0,Low Risk,0
"Increase your credit limit to $5,000 instantly without documentation. Click to activate",0,Low Risk,1
"Mom sent 1,200 BDT through Rocket. Check if it reflects in your balance",0,Low Risk,0
Your insurance refund of $350 is ready. Complete verification before it expires,20,Medium Risk,1
I paid the hotel booking charge via Visa. Check the confirmation email,0,Low Risk,0
Security alert: Multiple failed login attempts on your wallet. Restore access now,15,Low Risk,1
"The rent of 8,500 BDT has been transferred. Please send acknowledgment",0,Low Risk,0
Final warning: Your credit card account will be frozen within 24 hours. Verify now at securebankportal.com,35,Medium Risk,1
"I sent 3,700 BDT for groceries via bKash. Let me know once it reaches",0,Low Risk,0
"Congratulations! You are selected for a $2,000 investment bonus. Submit details to claim",0,Low Risk,1
"Paid the electricity bill of 1,250 BDT today. Please check if it cleared",0,Low Risk,0
Your PayPal account is under review due to suspicious activity. Confirm identity immediately,15,Low Risk,1
"I transferred 5,500 BDT for the office stationery. Confirm receipt",0,Low Risk,0
Exclusive: Unlock a high-yield savings account with 5% bonus interest. Apply now,15,Low Risk,1
"Sent advance payment of 15,000 BDT for the event hall booking. Await confirmation",0,Low Risk,0
Alert: Unauthorized loan application detected in your name. Verify or report now,15,Low Risk,1
"I repaid the 2,300 BDT loan you gave last week. Please confirm",0,Low Risk,0
Urgent: Your bank account has been flagged for multiple failed login attempts. Verify now to avoid freeze,35,Medium Risk,1
"I transferred 2,800 BDT for the monthly internet bill. Check and confirm receipt",0,Low Risk,0
"Limited offer: Apply for an instant $1,500 payday loan without credit check",0,Low Risk,0
"Client has deposited 50,000 BDT today. Update your records accordingly",0,Low Risk,0
"Your lottery reward of $1,200 is pending. Submit bank details to claim before deadline",0,Low Risk,1
"Paid the school fees of 12,500 BDT today. Please acknowledge",0,Low Risk,0
Security alert: Your debit card shows suspicious activity. Confirm transaction immediately,15,Low Risk,1
"I sent 1,800 BDT to settle the grocery expenses. Let me know if it’s received",0,Low Risk,0
"Exclusive crypto investment opportunity: Deposit $200 to earn $1,500 monthly. Limited seats",0,Low Risk,0
"Salary of 45,000 BDT has been credited. Check your payroll slip",0,Low Risk,0
আপনার একাউন্টে সন্দেহজনক লেনদেন হয়েছে। দ্রুত যাচাই করুন।,0,Low Risk,1
আপনার মোবাইল রিচার্জ সফল হয়েছে। ধন্যবাদ।,0,Low Risk,0
"জরুরি! আপনার অ্যাকাউন্ট ব্লক হতে চলেছে, লগইন করুন",0,Low Risk,1
আপনার লটারি জিতেছেন! এখনই তথ্য পাঠান।,0,Low Risk,1
আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে। বিশদ তথ্যের জন্য কল করুন।,0,Low Risk,1
আপনার অ্যাকাউন্টের ব্যালেন্স ৭০০০ টাকা।,0,Low Risk,0
আপনি এখনই লটারি জিতেছেন। বিস্তারিত জানার জন্য কল করুন।,0,Low Risk,1
"অজানা নম্বর থেকে কল এড়ান, এটি প্রতারণামূলক।",0,Low Risk,0
অনলাইন ট্রেডিং প্লাটফর্মে যোগ দিয়ে বিনিয়োগ করুন।,0,Low Risk,1
আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে। অচিরেই অভিযোগ জানান।,0,Low Risk,1
আপনার ব্যাংক অ্যাকাউন্টের বিস্তারিত তথ্য আপডেট করুন।,0,Low Risk,1
আপনার মোবাইল নম্বর রিচার্জ সফল হয়েছে। ধন্যবাদ।,0,Low Risk,0
অনলাইন লেনদেনে আগ্রহী? দ্রুত যোগাযোগ করুন।,0,Low Risk,1
আপনার লোন এর আবেদন অগ্রগামী। দ্রুত OTP দিন।,30,Medium Risk,1
আপনার অ্যাকাউন্টে কিছু সন্দেহজনক কার্যকলাপ লক্ষ্য করা গেছে। সাহায্য করার জন্য কল করুন।,0,Low Risk,1
"চলুন, আজই আপনার ব্যালেন্স বাড়ান। বিনিয়োগের জন্য দ্রুত যোগাযোগ করুন।",0,Low Risk,1
"আপনার ওটিপি কোড ১২৩৪৫৬, দয়া করে কারো সাথে শেয়ার করবেন না।",0,Low Risk,0
Congratulations! You have won a prize. Send OTP to claim your reward.,55,High Risk,1
"Urgent! Your account will be suspended, verify now by sending OTP.",65,High Risk,1
Your loan approved! Send your personal details to receive funds.,0,Low Risk,1
Monthly subscription payment received. Thank you for your service usage.,0,Low Risk,0
"Warning! Suspicious login detected, confirm your identity with OTP.",30,Medium Risk,1
"নতুন মোবাইল প্ল্যান অফার, বিস্তারিত জানতে কল করুন।",0,Low Risk,0
Account locked! Provide OTP now to unlock your account.,45,High Risk,1
"আপনার পেমেন্ট সফল হয়েছে, মোট ব্যালেন্স BDT ১২,০০০।",0,Low Risk,0
"আপনার কার্ড থেকে অননুমোদিত লেনদেন করা হয়েছে, কল করুন অবিলম্বে।",0,Low Risk,1
Urgent! Update your bank details to continue service.,15,Low Risk,1
Your account balance is BDT 7000. Thank you for banking with us.,0,Low Risk,0
"জরুরি: আপনার একাউন্টে অস্থায়ী সমস্যা হয়েছে, এখনি লগইন করে যাচাই করুন।",0,Low Risk,1
Congratulations! You are selected for a free gift. Send OTP to claim.,55,High Risk,1
"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।",0,Low Risk,0
Urgent action required! Verify your account with OTP within 10 minutes.,45,High Risk,1
Your debit card is blocked for suspicious activity. Call now to unblock.,15,Low Risk,1
New mobile plan launched. Contact customer care for details.,0,Low Risk,0
OTP verification failed. Please try again.,30,Medium Risk,0
"আপনার লোড ব্যালেন্স ক্ষীণ হচ্ছে, দ্রুত রিফিল করুন।",0,Low Risk,0
Warning! Unauthorized access attempt detected. Verify with OTP now.,45,High Risk,1
আপনার অ্যাকাউন্ট থেকে টাকা কেটে নেওয়া হয়েছে। সতর্ক থাকুন।,0,Low Risk,1
Your subscription has been renewed successfully.,0,Low Risk,0
আপনার মোবাইল ফোনের বিল পরিশোধ সফল হয়েছে। ধন্যবাদ।,0,Low Risk,0
Earn BDT 3000 daily working from home. Register now.,15,Low Risk,1
আজকের বিশেষ অফার! আপনার ডিসকাউন্ট এনজয় করতে কল করুন আজই।,0,Low Risk,1
Your debit card has been temporarily blocked due to suspicious activity.,0,Low Risk,1
"আপনার মেইল বক্স পূর্ণ, নতুন মেইল দেখতে লগইন করুন।",0,Low Risk,0
Your subscription has been renewed successfully. Thank you.,0,Low Risk,0
Update your bank details now to avoid service disruption.,15,Low Risk,1
"Dear user, update your payment info to avoid account suspension. Click the link now.",30,Medium Risk,1
Your package delivery is scheduled for tomorrow. Track here: tracking-link.com,15,Low Risk,0
Urgent: Verify your email by clicking the verification link within 24 hours.,30,Medium Risk,1
Congratulations! You are selected for a free iPhone. Claim by replying with your address.,0,Low Risk,1
"Team meeting is rescheduled to 3 PM, please confirm your availability.",0,Low Risk,0
Win big with our new lottery. Reply WIN to participate.,0,Low Risk,1
A new login to your account was detected from an unknown device. Secure your login now.,15,Low Risk,0
Thank you for your recent purchase. Your order #12345 will arrive soon.,0,Low Risk,0
Update your password immediately to safeguard your account.,45,High Risk,1
Limited time offer: Upgrade your plan now and save 30%.,0,Low Risk,0
Your bank statement is ready. Download your PDF here.,0,Low Risk,0
New message from support team. Check your inbox for details.,0,Low Risk,0
"আপনার OTP কোড 947123, কারো সাথে শেয়ার করবেন না।",30,Medium Risk,0
আপনার ফেসবুক একাউন্টে নতুন মেসেজ এসেছে। এখনই চেক করুন।,0,Low Risk,0
"Payment of BDT 2,500 received successfully. Thank you for your payment.",0,Low Risk,0
Friend request from Raisa Moni.,0,Low Risk,0
আপনার ব্যাংক স্টেটমেন্ট ডাউনলোড করতে এখানে ক্লিক করুন।,0,Low Risk,1
Earn BDT 3000 daily from home. Register now!,15,Low Risk,1
Your insurance claim has been approved. Contact us for details.,0,Low Risk,0
"আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে, দ্রুত কল করুন।",0,Low Risk,1
Your software update is ready to install. Proceed now.,15,Low Risk,0
Verify your email address by clicking this link.,15,Low Risk,1
আপনার মোবাইল সেটিংস আপডেট করেছেন?,0,Low Risk,0
Your subscription will expire tomorrow. Renew to continue service.,0,Low Risk,0
আপনার ফেসবুক এ নতুন মন্তব্য এসেছে। এখনই দেখুন।,0,Low Risk,0
Friend request from Rafi Ahmed. Accept to connect.,0,Low Risk,0
আপনার মোবাইল সেটিংস সফলভাবে আপডেট হয়েছে।,0,Low Risk,0
